date,username,product,sku,model,quantity,unit_type,applied_cost_per_quantity,gross_amount,discount_amount,net_amount,total_monthly_quota,organization,repository,cost_center_name,aic_quantity,aic_gross_amount
2026-06-01,user_0045,copilot,copilot_ai_credit,Auto: Claude Sonnet 4.6,52.581096,ai-credits,0.01,0.52581096,0.52581096,0,3900,acme-copilot-enterprise,,Product-Beta,0,0
2026-06-01,user_0424,copilot,copilot_ai_credit,Auto: Claude Sonnet 4.6,141.57244799999998,ai-credits,0.01,1.41572448,1.41572448,0,3900,acme-copilot-enterprise,,Product-Beta,0,0
2026-06-01,user_0002,copilot,copilot_ai_credit,Auto: Claude Sonnet 4.6,11.469465,ai-credits,0.01,0.11469465,0.11469465,0,3900,acme-copilot-enterprise,,Platform Engineering,0,0
2026-06-01,user_0359,copilot,copilot_ai_credit,Auto: Claude Sonnet 4.6,84.345003,ai-credits,0.01,0.8434500300000001,0.8434500300000001,0,3900,acme-copilot-enterprise,,Infra-SRE,0,0
2026-06-01,user_0412,copilot,copilot_ai_credit,Auto: Claude Sonnet 4.6,85.74678899999999,ai-credits,0.01,0.8574678899999999,0.8574678899999999,0,3900,acme-copilot-enterprise,,Infra-SRE,0,0
2026-06-01,user_0321,copilot,copilot_ai_credit,Auto: GPT-5.3-Codex,490.8770370000002,ai-credits,0.01,4.908770369999998,4.908770369999998,0,1900,,,Product-Beta,0,0
2026-06-01,user_0131,copilot,copilot_ai_credit,Auto: GPT-5.3-Codex,264.82695749999993,ai-credits,0.01,2.6482695749999996,2.6482695749999996,0,1900,,,Infra-Security,0,0
2026-06-01,user_0427,copilot,copilot_ai_credit,Auto: GPT-5.3-Codex,88.35753150000001,ai-credits,0.01,0.883575315,0.883575315,0,3900,acme-copilot-enterprise,,Infra-Core,0,0
2026-06-01,user_0305,copilot,copilot_ai_credit,Auto: GPT-5.3-Codex,79.809849,ai-credits,0.01,0.7980984900000001,0.7980984900000001,0,3900,acme-copilot-enterprise,,Product-Epsilon,0,0
2026-06-01,user_0276,copilot,copilot_ai_credit,Auto: GPT-5.3-Codex,151.34228550000003,ai-credits,0.01,1.513422855,1.513422855,0,3900,acme-copilot-enterprise,,Product-Gamma,0,0
2026-06-01,user_0363,copilot,copilot_ai_credit,Auto: GPT-5.3-Codex,324.8829674999998,ai-credits,0.01,3.2488296749999996,3.2488296749999996,0,1900,,,Operations,0,0
2026-06-01,user_0128,copilot,copilot_ai_credit,Auto: GPT-5.3-Codex,686.2717889999997,ai-credits,0.01,6.862717890000002,6.862717890000002,0,3900,acme-copilot-enterprise,,Product-Beta,0,0
2026-06-01,user_0388,copilot,copilot_ai_credit,Auto: GPT-5.3-Codex,1185.601032,ai-credits,0.01,11.856010319999992,11.856010319999992,0,1900,,,Platform Engineering,0,0
